[2025-10-23 11:30:35] Target: QSO_sim_z1.25_MgIIBlueDeep_15.6315m33.5144.fits, z=1.25, MAG=20.94279670715332, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:35] Target: QSO_sim_z1.25_MgIIBlueDeep_15.6315m33.5144.fits, z=1.25, MAG=20.94279670715332, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:35] Target: QSO_sim_z0.6_MgIIBlueWide_217.6502m13.738.fits, z=0.6000000238418579, MAG=20.519309997558594, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:35] Target: QSO_sim_z0.6_MgIIBlueWide_217.6502m13.738.fits, z=0.6000000238418579, MAG=20.519309997558594, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:37] Target: QSO_sim_z0.5221_MgIIBlueWide_112.7725m70.0044.fits, z=0.5221093893051147, MAG=20.247310638427734, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:37] Target: QSO_sim_z0.5221_MgIIBlueWide_112.7725m70.0044.fits, z=0.5221093893051147, MAG=20.247310638427734, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:39] Target: QSO_sim_z0.95_MgIIBlueDeep_356.6866m30.2807.fits, z=0.949999988079071, MAG=20.775259017944336, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:39] Target: QSO_sim_z0.95_MgIIBlueDeep_356.6866m30.2807.fits, z=0.949999988079071, MAG=20.775259017944336, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:40] Target: QSO_sim_z0.85_MgIIBlueWide_161.3809m20.1819.fits, z=0.8500000238418579, MAG=20.108789443969727, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:40] Target: QSO_sim_z0.85_MgIIBlueWide_161.3809m20.1819.fits, z=0.8500000238418579, MAG=20.108789443969727, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:41] Target: QSO_sim_z2.1296_MgIIBlueDeep_182.1899p3.413.fits, z=2.1295769214630127, MAG=21.388729095458984, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:41] Target: QSO_sim_z2.1296_MgIIBlueDeep_182.1899p3.413.fits, z=2.1295769214630127, MAG=21.388729095458984, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:41] Target: QSO_sim_z0.7_MgIIBlueWide_162.8527m24.4843.fits, z=0.699999988079071, MAG=20.211776733398438, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:41] Target: QSO_sim_z0.7_MgIIBlueWide_162.8527m24.4843.fits, z=0.699999988079071, MAG=20.211776733398438, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:42] Target: QSO_sim_z0.25_MgIIBlueWide_348.4839m71.839.fits, z=0.25, MAG=19.561378479003906, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:42] Target: QSO_sim_z0.25_MgIIBlueWide_348.4839m71.839.fits, z=0.25, MAG=19.561378479003906, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:44] Target: QSO_sim_z0.839_MgIIBlueWide_232.9767m24.6165.fits, z=0.8389999866485596, MAG=20.414928436279297, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:44] Target: QSO_sim_z0.839_MgIIBlueWide_232.9767m24.6165.fits, z=0.8389999866485596, MAG=20.414928436279297, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:46] Target: QSO_sim_z3.35_DLABlue_99.4687m65.071.fits, z=3.3499999046325684, MAG=20.792694091796875, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:46] Target: QSO_sim_z3.35_DLABlue_99.4687m65.071.fits, z=3.3499999046325684, MAG=20.792694091796875, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:46] Target: QSO_sim_z0.85_MgIIBlueWide_102.4563m53.8658.fits, z=0.8500000238418579, MAG=20.519811630249023, fobs=0.0, Warning: 13063 NaN values in target flux replaced with floor value
[2025-10-23 11:30:46] Target: QSO_sim_z0.85_MgIIBlueWide_102.4563m53.8658.fits, z=0.8500000238418579, MAG=20.519811630249023, fobs=0.0, Warning: 13063 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:48] Target: QSO_sim_z3.25_DLABlue_99.492m66.0868.fits, z=3.25, MAG=17.744667053222656, fobs=0.0, Warning: 5705 NaN values in target flux replaced with floor value
[2025-10-23 11:30:48] Target: QSO_sim_z3.25_DLABlue_99.492m66.0868.fits, z=3.25, MAG=17.744667053222656, fobs=0.0, Warning: 5705 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:49] Target: QSO_sim_z0.7954_MgIIBlueWide_73.2761m9.8762.fits, z=0.7954407930374146, MAG=20.439912796020508, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:49] Target: QSO_sim_z0.7954_MgIIBlueWide_73.2761m9.8762.fits, z=0.7954407930374146, MAG=20.439912796020508, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:52] Target: QSO_sim_z0.65_MgIIBlueWide_186.4218m36.5353.fits, z=0.6499999761581421, MAG=19.92434310913086, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:52] Target: QSO_sim_z0.65_MgIIBlueWide_186.4218m36.5353.fits, z=0.6499999761581421, MAG=19.92434310913086, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:53] Target: QSO_sim_z0.75_MgIIBlueWide_322.6773m10.3354.fits, z=0.75, MAG=20.33875846862793, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:53] Target: QSO_sim_z0.75_MgIIBlueWide_322.6773m10.3354.fits, z=0.75, MAG=20.33875846862793, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:55] Target: QSO_sim_z0.608_MgIIBlueWide_349.0971m3.3967.fits, z=0.6080207228660583, MAG=20.49202537536621, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:55] Target: QSO_sim_z0.608_MgIIBlueWide_349.0971m3.3967.fits, z=0.6080207228660583, MAG=20.49202537536621, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:57] Target: QSO_sim_z0.85_MgIIBlueWide_288.1298m36.8754.fits, z=0.8500000238418579, MAG=19.949365615844727, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:57] Target: QSO_sim_z0.85_MgIIBlueWide_288.1298m36.8754.fits, z=0.8500000238418579, MAG=19.949365615844727, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:57] Target: QSO_sim_z0.6229_MgIIBlueWide_12.6833m40.7463.fits, z=0.6229371428489685, MAG=19.391935348510742, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:57] Target: QSO_sim_z0.6229_MgIIBlueWide_12.6833m40.7463.fits, z=0.6229371428489685, MAG=19.391935348510742, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:30:58] Target: QSO_sim_z0.65_MgIIBlueWide_33.8156m50.1824.fits, z=0.6499999761581421, MAG=20.208498001098633, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:30:58] Target: QSO_sim_z0.65_MgIIBlueWide_33.8156m50.1824.fits, z=0.6499999761581421, MAG=20.208498001098633, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:00] Target: QSO_sim_z1.2529_MgIIBlueDeep_175.6102m0.166.fits, z=1.2529348134994507, MAG=21.143911361694336, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:00] Target: QSO_sim_z1.2529_MgIIBlueDeep_175.6102m0.166.fits, z=1.2529348134994507, MAG=21.143911361694336, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:00] Target: QSO_sim_z0.9_MgIIBlueWide_289.4394m38.3426.fits, z=0.8999999761581421, MAG=20.514802932739258, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:00] Target: QSO_sim_z0.9_MgIIBlueWide_289.4394m38.3426.fits, z=0.8999999761581421, MAG=20.514802932739258, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:01] Target: QSO_sim_z0.9_MgIIBlueWide_33.9321m54.7186.fits, z=0.8999999761581421, MAG=20.293807983398438, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:01] Target: QSO_sim_z0.9_MgIIBlueWide_33.9321m54.7186.fits, z=0.8999999761581421, MAG=20.293807983398438, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
